sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Flowers,Miley Cyrus,pop,2023.00,118.00,68.00,71.00,-4.00,3.00,65.00,200.00,6.00,7.00,100.00
2,Blinding Lights,The Weeknd,canadian contemporary r&b,2020.00,171.00,73.00,51.00,-6.00,9.00,33.00,200.00,0.00,6.00,87.00
3,Last Night,Morgan Wallen,contemporary country,2023.00,204.00,68.00,52.00,-5.00,15.00,52.00,164.00,46.00,4.00,85.00
4,When I Was Your Man,Bruno Mars,dance pop,2012.00,73.00,28.00,61.00,-9.00,9.00,39.00,214.00,93.00,4.00,85.00
5,lovely (with Khalid),Billie Eilish,art pop,2018.00,115.00,30.00,35.00,-10.00,10.00,12.00,200.00,93.00,3.00,85.00
6,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021.00,170.00,76.00,59.00,-5.00,10.00,48.00,142.00,4.00,5.00,84.00
7,Someone You Loved,Lewis Capaldi,pop,2019.00,110.00,41.00,50.00,-6.00,11.00,45.00,182.00,75.00,3.00,84.00
8,Sunroof,Nicky Youre,pop,2021.00,131.00,71.00,77.00,-5.00,15.00,84.00,163.00,35.00,4.00,84.00
9,Everybody Wants To Rule The World,Tears For Fears,new romantic,1985.00,112.00,80.00,65.00,-12.00,10.00,54.00,251.00,35.00,5.00,83.00
10,Until I Found You,Stephen Sanchez,gen z singer-songwriter,2021.00,101.00,51.00,54.00,-6.00,17.00,23.00,178.00,73.00,3.00,83.00
11,Every Breath You Take,The Police,album rock,1983.00,117.00,45.00,82.00,-10.00,7.00,74.00,254.00,54.00,3.00,82.00
12,The Nights,Avicii,dance pop,2014.00,126.00,84.00,53.00,-5.00,25.00,65.00,177.00,2.00,4.00,82.00
13,Umbrella,Rihanna,barbadian pop,2008.00,174.00,83.00,58.00,-5.00,4.00,57.00,276.00,1.00,13.00,82.00
14,All of Me,John Legend,neo soul,2013.00,120.00,26.00,42.00,-7.00,13.00,33.00,270.00,92.00,3.00,82.00
15,Circles,Post Malone,dfw rap,2019.00,120.00,76.00,70.00,-3.00,9.00,55.00,215.00,19.00,4.00,82.00
16,drivers license,Olivia Rodrigo,pop,2021.00,144.00,43.00,56.00,-9.00,11.00,14.00,242.00,77.00,6.00,82.00
17,good 4 u,Olivia Rodrigo,pop,2021.00,167.00,66.00,56.00,-5.00,8.00,69.00,178.00,34.00,15.00,82.00
18,Wake Me Up,Avicii,dance pop,2013.00,124.00,78.00,53.00,-6.00,16.00,64.00,247.00,0.00,5.00,82.00
19,Cold Heart - PNAU Remix,Elton John,glam rock,2021.00,116.00,80.00,80.00,-6.00,10.00,94.00,203.00,3.00,3.00,82.00
20,You Proof,Morgan Wallen,contemporary country,2022.00,120.00,85.00,73.00,-5.00,61.00,64.00,157.00,25.00,3.00,81.00
21,Dream On,Aerosmith,album rock,1973.00,78.00,48.00,39.00,-8.00,31.00,23.00,268.00,40.00,2.00,81.00
22,Blank Space,Taylor Swift,pop,2014.00,96.00,70.00,76.00,-5.00,9.00,57.00,232.00,10.00,5.00,81.00
23,favorite crime,Olivia Rodrigo,pop,2021.00,173.00,27.00,37.00,-10.00,15.00,22.00,153.00,87.00,4.00,81.00
24,deja vu,Olivia Rodrigo,pop,2021.00,181.00,61.00,44.00,-7.00,37.00,18.00,216.00,58.00,11.00,81.00
25,Adore You,Harry Styles,pop,2019.00,99.00,77.00,68.00,-4.00,10.00,57.00,207.00,2.00,5.00,81.00
26,cardigan,Taylor Swift,pop,2020.00,130.00,58.00,61.00,-9.00,25.00,55.00,240.00,54.00,4.00,81.00
27,Livin' On A Prayer,Bon Jovi,glam metal,1986.00,123.00,89.00,53.00,-4.00,29.00,80.00,249.00,8.00,3.00,81.00
28,Lover,Taylor Swift,pop,2019.00,69.00,54.00,36.00,-8.00,12.00,45.00,221.00,49.00,9.00,81.00
29,Counting Stars,OneRepublic,piano rock,2013.00,122.00,71.00,66.00,-5.00,12.00,48.00,257.00,7.00,4.00,80.00
30,Love Yourself,Justin Bieber,canadian pop,2015.00,100.00,38.00,61.00,-10.00,28.00,52.00,234.00,84.00,44.00,80.00
31,The Night We Met,Lord Huron,stomp and holler,2015.00,87.00,37.00,54.00,-10.00,64.00,10.00,208.00,97.00,4.00,80.00
32,Before You Go,Lewis Capaldi,pop,2019.00,112.00,57.00,46.00,-5.00,9.00,18.00,215.00,60.00,6.00,80.00
33,Party In The U.S.A.,Miley Cyrus,pop,2009.00,96.00,70.00,65.00,-5.00,9.00,47.00,202.00,0.00,4.00,80.00
34,THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop,2021.00,88.00,85.00,74.00,-5.00,5.00,55.00,144.00,1.00,22.00,80.00
35,Wasted On You,Morgan Wallen,contemporary country,2021.00,196.00,66.00,51.00,-5.00,13.00,25.00,179.00,37.00,3.00,80.00
36,Iris,The Goo Goo Dolls,neo mellow,1998.00,156.00,72.00,32.00,-8.00,9.00,50.00,290.00,0.00,4.00,80.00
37,Take Me To Church,Hozier,irish singer-songwriter,2014.00,129.00,66.00,57.00,-5.00,12.00,44.00,242.00,63.00,5.00,79.00
38,Shut Up and Dance,WALK THE MOON,dance rock,2014.00,128.00,87.00,58.00,-4.00,26.00,62.00,199.00,1.00,6.00,79.00
39,you broke me first,Tate McRae,pop,2020.00,124.00,37.00,67.00,-9.00,9.00,8.00,169.00,79.00,5.00,79.00
40,Don't Stop Believin',Journey,album rock,1981.00,119.00,75.00,50.00,-9.00,45.00,51.00,251.00,13.00,4.00,79.00
41,Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967.00,130.00,60.00,66.00,-11.00,18.00,80.00,152.00,43.00,3.00,79.00
42,Don't Start Now,Dua Lipa,dance pop,2020.00,124.00,79.00,79.00,-5.00,10.00,68.00,183.00,1.00,8.00,79.00
43,Bad Romance,Lady Gaga,art pop,2009.00,119.00,92.00,70.00,-4.00,8.00,71.00,295.00,0.00,4.00,79.00
44,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,art rock,1983.00,125.00,71.00,69.00,-7.00,12.00,88.00,217.00,23.00,3.00,78.00
45,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016.00,100.00,56.00,73.00,-8.00,18.00,35.00,218.00,62.00,13.00,78.00
46,Mood (feat. iann dior),24kGoldn,cali rap,2020.00,91.00,72.00,70.00,-4.00,32.00,73.00,141.00,17.00,4.00,78.00
47,Congratulations,Post Malone,dfw rap,2016.00,123.00,80.00,63.00,-4.00,25.00,49.00,220.00,22.00,4.00,78.00
48,Golden,Harry Styles,pop,2019.00,140.00,84.00,45.00,-5.00,13.00,25.00,209.00,21.00,6.00,78.00
49,Wildest Dreams (Taylor's Version),Taylor Swift,pop,2021.00,140.00,67.00,58.00,-7.00,13.00,50.00,220.00,4.00,6.00,78.00
50,You Give Love A Bad Name,Bon Jovi,glam metal,1986.00,123.00,96.00,54.00,-3.00,34.00,81.00,223.00,7.00,5.00,78.00
51,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011.00,90.00,80.00,65.00,-3.00,27.00,80.00,211.00,3.00,10.00,78.00
52,Thought You Should Know,Morgan Wallen,contemporary country,2022.00,140.00,70.00,53.00,-6.00,14.00,51.00,216.00,49.00,3.00,78.00
53,Thousand Miles,The Kid LAROI,australian hip hop,2022.00,81.00,66.00,38.00,-5.00,9.00,20.00,165.00,9.00,8.00,77.00
54,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012.00,120.00,58.00,78.00,-7.00,11.00,66.00,193.00,1.00,4.00,77.00
55,7 Years,Lukas Graham,danish pop,2016.00,120.00,47.00,77.00,-6.00,39.00,34.00,237.00,29.00,5.00,77.00
56,Lose You To Love Me,Selena Gomez,dance pop,2020.00,103.00,34.00,49.00,-9.00,21.00,10.00,206.00,56.00,4.00,77.00
57,July,Noah Cyrus,pop,2020.00,73.00,19.00,71.00,-9.00,8.00,32.00,156.00,87.00,4.00,77.00
58,Sucker,Jonas Brothers,boy band,2019.00,138.00,73.00,84.00,-5.00,11.00,95.00,181.00,4.00,6.00,77.00
59,Stolen Dance,Milky Chance,german pop,2013.00,114.00,58.00,88.00,-9.00,8.00,73.00,314.00,43.00,4.00,77.00
60,Chasin' You,Morgan Wallen,contemporary country,2018.00,97.00,59.00,63.00,-6.00,11.00,49.00,205.00,66.00,3.00,77.00
61,Whiskey Glasses,Morgan Wallen,contemporary country,2018.00,150.00,68.00,61.00,-5.00,12.00,71.00,234.00,37.00,3.00,77.00
62,Stitches,Shawn Mendes,canadian pop,2015.00,150.00,75.00,75.00,-7.00,5.00,75.00,207.00,2.00,7.00,77.00
63,New Rules,Dua Lipa,dance pop,2017.00,116.00,70.00,76.00,-6.00,15.00,61.00,209.00,0.00,7.00,77.00
64,Havana (feat. Young Thug),Camila Cabello,dance pop,2018.00,105.00,52.00,77.00,-4.00,13.00,39.00,217.00,18.00,3.00,76.00
65,Way down We Go,KALEO,icelandic indie,2016.00,163.00,51.00,49.00,-8.00,10.00,34.00,214.00,58.00,12.00,76.00
66,Somebody That I Used To Know,Gotye,australian pop,2011.00,129.00,52.00,87.00,-7.00,10.00,75.00,245.00,55.00,4.00,76.00
67,Wildest Dreams,Taylor Swift,pop,2014.00,140.00,66.00,55.00,-7.00,11.00,47.00,220.00,7.00,7.00,76.00
68,The Middle,Zedd,complextro,2018.00,107.00,66.00,75.00,-3.00,11.00,44.00,185.00,17.00,4.00,76.00
69,Wake Me Up Before You Go-Go,Wham!,europop,1984.00,82.00,57.00,62.00,-12.00,6.00,90.00,231.00,27.00,4.00,76.00
70,It's My Life,Bon Jovi,glam metal,2000.00,120.00,91.00,55.00,-4.00,35.00,54.00,224.00,3.00,5.00,76.00
71,Your Song,Elton John,glam rock,1970.00,128.00,32.00,55.00,-11.00,10.00,33.00,242.00,83.00,3.00,76.00
72,Careless Whisper,George Michael,dance pop,1998.00,153.00,63.00,57.00,-9.00,27.00,80.00,300.00,13.00,4.00,76.00
73,Beautiful Crazy,Luke Combs,contemporary country,2018.00,103.00,40.00,55.00,-7.00,9.00,38.00,193.00,68.00,3.00,76.00
74,Complicated,Avril Lavigne,canadian pop,2002.00,78.00,78.00,59.00,-6.00,30.00,43.00,245.00,6.00,5.00,76.00
75,Wolves,Selena Gomez,dance pop,2017.00,125.00,80.00,72.00,-5.00,20.00,31.00,198.00,12.00,4.00,76.00
76,Me And My Broken Heart,Rixton,dance pop,2014.00,174.00,78.00,55.00,-4.00,13.00,55.00,194.00,0.00,3.00,75.00
77,hot girl bummer,blackbear,electropop,2019.00,130.00,56.00,78.00,-7.00,39.00,69.00,188.00,13.00,8.00,75.00
78,Better,Khalid,pop,2018.00,98.00,55.00,60.00,-10.00,10.00,11.00,229.00,8.00,10.00,75.00
79,exile (feat. Bon Iver),Taylor Swift,pop,2020.00,76.00,38.00,30.00,-8.00,11.00,15.00,286.00,78.00,3.00,75.00
80,Eastside (with Halsey & Khalid),benny blanco,dance pop,2018.00,90.00,69.00,63.00,-8.00,20.00,33.00,171.00,55.00,24.00,75.00
81,Hold Me While You Wait,Lewis Capaldi,pop,2019.00,107.00,53.00,69.00,-6.00,10.00,16.00,206.00,44.00,3.00,75.00
82,Vienna,Billy Joel,classic rock,1977.00,125.00,50.00,53.00,-7.00,8.00,31.00,214.00,66.00,3.00,75.00
83,Don't Go Breaking My Heart,Elton John,glam rock,1975.00,131.00,84.00,73.00,-9.00,6.00,78.00,275.00,15.00,3.00,75.00
84,More Than My Hometown,Morgan Wallen,contemporary country,2021.00,126.00,87.00,62.00,-5.00,13.00,60.00,217.00,62.00,5.00,75.00
85,Forever After All,Luke Combs,contemporary country,2020.00,152.00,65.00,49.00,-5.00,9.00,46.00,233.00,19.00,3.00,75.00
86,Heartbreak Anniversary,Giveon,pop,2020.00,89.00,47.00,45.00,-9.00,30.00,54.00,198.00,52.00,8.00,75.00
87,Dueles,Jesse & Joy,latin arena pop,2015.00,142.00,83.00,53.00,-4.00,13.00,53.00,248.00,28.00,5.00,75.00
88,Before He Cheats,Carrie Underwood,contemporary country,2005.00,148.00,75.00,52.00,-3.00,12.00,29.00,200.00,27.00,4.00,75.00
89,Cover Me Up,Morgan Wallen,contemporary country,2021.00,128.00,44.00,55.00,-8.00,11.00,21.00,294.00,23.00,3.00,74.00
90,"Me, Myself & I",G-Eazy,hip hop,2015.00,112.00,67.00,76.00,-7.00,16.00,39.00,251.00,2.00,10.00,74.00
91,Sand In My Boots,Morgan Wallen,contemporary country,2021.00,70.00,54.00,40.00,-7.00,11.00,41.00,202.00,59.00,3.00,74.00
92,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,pop,2019.00,78.00,43.00,38.00,-7.00,9.00,13.00,177.00,9.00,3.00,74.00
93,Lady May,Tyler Childers,kentucky indie,2017.00,81.00,16.00,54.00,-13.00,11.00,32.00,184.00,88.00,3.00,74.00
94,Drive By,Train,dance pop,2012.00,122.00,84.00,77.00,-3.00,8.00,72.00,196.00,0.00,3.00,74.00
95,Good Time,Owl City,indietronica,2012.00,126.00,87.00,56.00,-4.00,37.00,68.00,206.00,2.00,14.00,74.00
96,Dancing in the Moonlight,Toploader,british alternative rock,2000.00,119.00,86.00,63.00,-3.00,35.00,87.00,233.00,6.00,3.00,74.00
97,Crazy Little Thing Called Love - Remastered 2011,Queen,classic rock,1980.00,77.00,76.00,60.00,-7.00,35.00,71.00,163.00,71.00,4.00,74.00
98,Good Riddance (Time of Your Life),Green Day,permanent wave,1997.00,95.00,43.00,48.00,-8.00,16.00,65.00,153.00,18.00,3.00,74.00
99,She Got the Best of Me,Luke Combs,contemporary country,2018.00,151.00,91.00,53.00,-4.00,39.00,70.00,183.00,3.00,4.00,74.00
100,Amorfoda,Bad Bunny,reggaeton,2018.00,148.00,42.00,75.00,-8.00,8.00,31.00,154.00,99.00,6.00,73.00
101,Wake Me up When September Ends,Green Day,permanent wave,2004.00,105.00,81.00,55.00,-5.00,10.00,15.00,286.00,2.00,3.00,73.00
102,Boulevard of Broken Dreams,Green Day,permanent wave,2017.00,167.00,68.00,50.00,-4.00,6.00,47.00,262.00,1.00,3.00,73.00
103,Renegades,X Ambassadors,modern alternative rock,2015.00,90.00,86.00,53.00,-6.00,23.00,53.00,195.00,1.00,9.00,73.00
104,Tiny Dancer,Elton John,glam rock,1971.00,145.00,43.00,41.00,-11.00,15.00,28.00,377.00,38.00,3.00,73.00
105,Mambo No. 5 (a Little Bit of...),Lou Bega,latin pop,1999.00,174.00,81.00,62.00,-7.00,31.00,89.00,220.00,10.00,41.00,73.00
106,Pompeii,Bastille,metropopolis,2013.00,127.00,72.00,68.00,-6.00,27.00,57.00,214.00,8.00,4.00,72.00
107,Stay,Zedd,complextro,2017.00,102.00,62.00,69.00,-5.00,12.00,54.00,210.00,25.00,6.00,72.00
108,Plastic Hearts,Miley Cyrus,pop,2020.00,176.00,76.00,55.00,-5.00,8.00,62.00,206.00,5.00,7.00,72.00
109,Stay,Post Malone,dfw rap,2018.00,86.00,48.00,51.00,-5.00,15.00,35.00,204.00,45.00,3.00,72.00
110,Forever,Lewis Capaldi,pop,2019.00,85.00,36.00,65.00,-7.00,12.00,36.00,211.00,87.00,3.00,72.00
111,Replay,Iyaz,dance pop,2009.00,91.00,75.00,71.00,-6.00,17.00,20.00,182.00,17.00,7.00,72.00
112,Babydoll,Dominic Fike,alternative pop rock,2018.00,168.00,60.00,76.00,-5.00,3.00,85.00,98.00,11.00,11.00,72.00
113,Love Grows (Where My Rosemary Goes),Edison Lighthouse,bubblegum pop,1970.00,109.00,82.00,57.00,-5.00,9.00,75.00,175.00,40.00,3.00,72.00
114,Coast (feat. Anderson .Paak),Hailee Steinfeld,dance pop,2022.00,112.00,88.00,70.00,-4.00,14.00,84.00,167.00,3.00,8.00,72.00
115,Numb Little Bug,Em Beihold,alt z,2022.00,85.00,53.00,74.00,-7.00,25.00,64.00,169.00,33.00,8.00,72.00
116,"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",Aerosmith,album rock,1998.00,121.00,65.00,39.00,-5.00,22.00,14.00,300.00,17.00,3.00,71.00
117,You're The One That I Want - From “Grease”,John Travolta,hollywood,1978.00,107.00,61.00,76.00,-11.00,10.00,82.00,170.00,28.00,6.00,71.00
118,Cool Kids,Echosmith,indie poptimism,2013.00,130.00,67.00,72.00,-6.00,12.00,79.00,238.00,4.00,3.00,71.00
119,Starving,Hailee Steinfeld,dance pop,2016.00,100.00,62.00,73.00,-4.00,11.00,51.00,182.00,38.00,6.00,71.00
120,Run,OneRepublic,piano rock,2021.00,117.00,72.00,68.00,-8.00,15.00,67.00,169.00,33.00,4.00,71.00
121,idfc,blackbear,electropop,2015.00,145.00,50.00,63.00,-9.00,11.00,32.00,245.00,61.00,6.00,71.00
122,AOK,Tai Verdes,modern indie pop,2021.00,82.00,63.00,73.00,-7.00,18.00,86.00,174.00,13.00,8.00,71.00
123,Eastside (with Halsey & Khalid),benny blanco,dance pop,2018.00,89.00,68.00,56.00,-8.00,12.00,32.00,174.00,56.00,32.00,71.00
124,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2011.00,116.00,94.00,56.00,-4.00,11.00,68.00,222.00,5.00,5.00,71.00
125,Habits (Stay High),Tove Lo,dance pop,2014.00,110.00,65.00,73.00,-4.00,8.00,35.00,209.00,7.00,3.00,71.00
126,Life is a Highway,Rascal Flatts,contemporary country,2006.00,103.00,95.00,58.00,-4.00,22.00,66.00,276.00,0.00,7.00,71.00
127,We Didn't Start the Fire,Billy Joel,classic rock,1989.00,145.00,97.00,71.00,-5.00,36.00,90.00,288.00,8.00,5.00,71.00
128,7 Summers,Morgan Wallen,contemporary country,2021.00,204.00,79.00,47.00,-5.00,13.00,57.00,211.00,42.00,3.00,71.00
129,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,dance pop,2017.00,154.00,78.00,64.00,-6.00,8.00,58.00,164.00,5.00,9.00,71.00
